[2025-07-11 15:45:10] [INFO    ] discord.client: logging in using static token
[2025-07-11 15:45:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-11 15:45:10] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-11 15:45:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1393293548203540645', 'username': 'Josh', 'avatar': 'c15c8aa307e0696c3cc4bb1ca59f5bb5', 'discriminator': '4101', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-11 15:45:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-11 15:45:10] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-11 15:45:10] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1393293548203540645', 'name': 'Josh', 'icon': 'c15c8aa307e0696c3cc4bb1ca59f5bb5', 'description': '', 'type': None, 'bot': {'id': '1393293548203540645', 'username': 'Josh', 'avatar': 'c15c8aa307e0696c3cc4bb1ca59f5bb5', 'discriminator': '4101', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '54242a5c817d18d2d0bf3d922d2a2c39e145fe109801abb2694d015564342378', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '238390592478904320', 'username': 'a_0722', 'avatar': '180c578b2419ed264086da68b590f10b', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': None, 'accent_color': 8629635, 'global_name': 'A_^-^:D', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#83ad83', 'clan': {'identity_guild_id': '186610204023062528', 'identity_enabled': True, 'tag': 'PRD', 'badge': 'ec60c5e6d1f14d3bbff586e2e0b9e54e'}, 'primary_guild': {'identity_guild_id': '186610204023062528', 'identity_enabled': True, 'tag': 'PRD', 'badge': 'ec60c5e6d1f14d3bbff586e2e0b9e54e'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-11 15:45:11] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-11 15:45:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-93k9",{"micros":0.0}]']}}
[2025-07-11 15:45:11] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-11 15:45:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-11 15:45:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Josh', 'primary_guild': None, 'mfa_enabled': True, 'id': '1393293548203540645', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4101', 'clan': None, 'bot': True, 'avatar': 'c15c8aa307e0696c3cc4bb1ca59f5bb5'}, 'session_type': 'normal', 'session_id': '228ddcbe9d2bff7ea335c54d47dd51af', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1164287467235586199'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-east', 'atlanta', 'newark', 'us-central', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1393293548203540645', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-d-93k9",{"micros":86255,"calls":["id_created",{"micros":507,"calls":[]},"session_lookup_time",{"micros":455,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-180",{"micros":84862,"calls":["start_session",{"micros":62357,"calls":["discord-api-rpc-69f969b9b5-pjpk2",{"micros":44195,"calls":["get_user",{"micros":6239},"get_guilds",{"micros":3594},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":30},"pending_payments",{"micros":6951},"apex_experiments",{"micros":3051},"user_activities",{"micros":13},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":32,"calls":[]},"presence_started",{"micros":453,"calls":[]},"guilds_started",{"micros":89,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":21911,"calls":[]},"connect_finished",{"micros":21917,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-11 15:45:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-11 15:45:11] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 228ddcbe9d2bff7ea335c54d47dd51af).
[2025-07-11 15:45:11] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-11 15:45:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'region': 'deprecated', 'inventory_settings': None, 'max_stage_video_channel_users': 50, 'members': [{'user': {'username': 'Josh', 'public_flags': 0, 'primary_guild': None, 'id': '1393293548203540645', 'global_name': None, 'display_name': None, 'discriminator': '4101', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c15c8aa307e0696c3cc4bb1ca59f5bb5'}, 'roles': ['1393300048086962176'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-11T18:36:57.774854+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'hub_type': None, 'features': [], 'mfa_level': 0, 'verification_level': 0, 'embedded_activities': [], 'rules_channel_id': None, 'profile': None, 'system_channel_flags': 0, 'icon': 'f15c506d44f7175ba30845b34d4c6c5f', 'moderator_reporting': None, 'premium_features': None, 'nsfw': False, 'banner': None, 'public_updates_channel_id': None, 'application_command_counts': {}, 'id': '1164287467235586199', 'preferred_locale': 'en-US', 'name': 'Emoji server', 'max_members': 2500000, 'channels': [{'version': 1697658163917, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1164287468544196618', 'flags': 0}, {'version': 1697658163936, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1164287468544196619', 'flags': 0}, {'version': 1697658163976, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1164287468544196618', 'name': 'general', 'last_message_id': '1393316198862553210', 'id': '1164287468544196620', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1697658163989, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1164287468544196619', 'name': 'General', 'last_message_id': None, 'id': '1164287468544196622', 'icon_emoji': {'name': '🎙️', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'owner_configured_content_level': 0, 'threads': [], 'soundboard_sounds': [], 'vanity_url_code': None, 'joined_at': '2025-07-11T18:36:57.774854+00:00', 'unavailable': False, 'voice_states': [], 'description': None, 'roles': [{'version': 1697658163907, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1164287467235586199', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752259017731, 'unicode_emoji': None, 'tags': {'bot_id': '1393293548203540645'}, 'position': 1, 'permissions': '563276639759424', 'name': 'Josh', 'mentionable': False, 'managed': True, 'id': '1393300048086962176', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'premium_subscription_count': 0, 'stickers': [{'version': 1698376542230, 'type': 2, 'tags': '💀', 'name': 'whatapp', 'id': '1167300565542379570', 'guild_id': '1164287467235586199', 'format_type': 1, 'description': '', 'available': True}], 'incidents_data': None, 'guild_scheduled_events': [], 'nsfw_level': 0, 'explicit_content_filter': 0, 'lazy': True, 'member_count': 2, 'home_header': None, 'stage_instances': [], 'default_message_notifications': 0, 'discovery_splash': None, 'afk_channel_id': None, 'large': False, 'presences': [], 'premium_tier': 0, 'afk_timeout': 300, 'safety_alerts_channel_id': None, 'splash': None, 'owner_id': '238390592478904320', 'activity_instances': [], 'version': 1747416454388, 'application_id': None, 'premium_progress_bar_enabled': False, 'system_channel_id': '1164287468544196620', 'emojis': [{'version': 1697658196732, 'roles': [], 'require_colons': True, 'name': 'josh', 'managed': False, 'id': '1164287572189642884', 'available': True, 'animated': False}, {'version': 1697658400716, 'roles': [], 'require_colons': True, 'name': 'luf', 'managed': False, 'id': '1164288436589580380', 'available': True, 'animated': False}, {'version': 1697658426443, 'roles': [], 'require_colons': True, 'name': 'reyou', 'managed': False, 'id': '1164288542999072878', 'available': True, 'animated': False}, {'version': 1697658497989, 'roles': [], 'require_colons': True, 'name': 'min', 'managed': False, 'id': '1164288843961344090', 'available': True, 'animated': False}, {'version': 1697658958364, 'roles': [], 'require_colons': True, 'name': 'bachi', 'managed': False, 'id': '1164290778311430144', 'available': True, 'animated': False}, {'version': 1697658975516, 'roles': [], 'require_colons': True, 'name': 'monokuma', 'managed': False, 'id': '1164290842652053634', 'available': True, 'animated': False}, {'version': 1697659036604, 'roles': [], 'require_colons': True, 'name': 'za', 'managed': False, 'id': '1164291072516698152', 'available': True, 'animated': False}, {'version': 1697659066949, 'roles': [], 'require_colons': True, 'name': 'ballin', 'managed': False, 'id': '1164291225952727072', 'available': True, 'animated': False}, {'version': 1697828818505, 'roles': [], 'require_colons': True, 'name': 'GUH', 'managed': False, 'id': '1165003215817936967', 'available': True, 'animated': False}, {'version': 1697828907214, 'roles': [], 'require_colons': True, 'name': 'opp', 'managed': False, 'id': '1165003596744638547', 'available': True, 'animated': False}, {'version': 1698422761641, 'roles': [], 'require_colons': True, 'name': '3_', 'managed': False, 'id': '1167494403716296704', 'available': True, 'animated': False}, {'version': 1719097227789, 'roles': [], 'require_colons': True, 'name': 'dumbass', 'managed': False, 'id': '1254209382057508958', 'available': True, 'animated': False}, {'version': 1719097282025, 'roles': [], 'require_colons': True, 'name': 'brat', 'managed': False, 'id': '1254209625792970923', 'available': True, 'animated': False}, {'version': 1719097320835, 'roles': [], 'require_colons': True, 'name': 'wgar', 'managed': False, 'id': '1254209777794285610', 'available': True, 'animated': False}, {'version': 1719254194509, 'roles': [], 'require_colons': True, 'name': 'fraudori', 'managed': False, 'id': '1254867751810629722', 'available': True, 'animated': False}, {'version': 1720816514974, 'roles': [], 'require_colons': True, 'name': 'woah', 'managed': False, 'id': '1261420599310417940', 'available': True, 'animated': False}, {'version': 1721252081375, 'roles': [], 'require_colons': True, 'name': 'yayyyyyy', 'managed': False, 'id': '1263247508574830693', 'available': True, 'animated': False}, {'version': 1721252093905, 'roles': [], 'require_colons': True, 'name': 'wahwah', 'managed': False, 'id': '1263247552636125257', 'available': True, 'animated': False}, {'version': 1721252133107, 'roles': [], 'require_colons': True, 'name': 'smug', 'managed': False, 'id': '1263247714657767424', 'available': True, 'animated': False}, {'version': 1721252160850, 'roles': [], 'require_colons': True, 'name': 'emoji_2', 'managed': False, 'id': '1263247847701348372', 'available': True, 'animated': False}, {'version': 1727810125527, 'roles': [], 'require_colons': True, 'name': 'stupididiot', 'managed': False, 'id': '1290753924697034905', 'available': True, 'animated': False}, {'version': 1727812248775, 'roles': [], 'require_colons': True, 'name': 'jonker', 'managed': False, 'id': '1290762824221589546', 'available': True, 'animated': False}, {'version': 1729473072115, 'roles': [], 'require_colons': True, 'name': 'porbter', 'managed': False, 'id': '1297728826041962507', 'available': True, 'animated': False}, {'version': 1731419318958, 'roles': [], 'require_colons': True, 'name': 'disk', 'managed': False, 'id': '1305891993251086387', 'available': True, 'animated': False}, {'version': 1738020264149, 'roles': [], 'require_colons': True, 'name': 'pearto', 'managed': False, 'id': '1333578363608236134', 'available': True, 'animated': False}, {'version': 1742138589479, 'roles': [], 'require_colons': True, 'name': 'ate', 'managed': False, 'id': '1350851871077699674', 'available': True, 'animated': False}], 'max_video_channel_users': 25, 'latest_onboarding_question_id': None}}
[2025-07-11 15:45:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
